geolocation_state,geolocation_zip_code_prefix,geolocation_lat_x,geolocation_lng_x
SP,1420,-23.5634354904988,-46.65791603919699
SP,1421,-23.563299264968794,-46.66015369245716
SP,1422,-23.563961910707363,-46.661132368415885
SP,1423,-23.56914511719341,-46.65734766505129
SP,1424,-23.56804145680593,-46.66139884320943
SP,1425,-23.572898532495433,-46.65924739236763
SP,1426,-23.565860397098273,-46.66603169632676
SP,1427,-23.57104476479159,-46.66406861421766
SP,1428,-23.573938872860044,-46.66232632374679
SP,1429,-23.5763844555291,-46.66290000707434
SP,1430,-23.65614006235602,-46.66250204609212
SP,1431,-23.62038877983607,-46.66476818452366
SP,1432,-23.576485879805993,-46.6657860583567
SP,1433,-23.57840745461661,-46.66837295595988
SP,1434,-23.574646544842803,-46.672377399015254
SP,1435,-23.579321845605367,-46.67017866896868
SP,1436,-23.57245538592821,-46.66798871616942
SP,1437,-23.5721412540443,-46.67150329618943
SP,1438,-23.56980370877425,-46.67226487905968
SP,1439,-23.56628948809204,-46.673571417782284
SP,1440,-23.568289458157125,-46.67817024606098
SP,1441,-23.570603894261335,-46.68373209675989
SP,1442,-23.566530732061704,-46.67861605515885
SP,1443,-23.568268938910098,-46.684507863331326
SP,1444,-23.573235541829785,-46.68752695447546
SP,1445,-23.57103798335723,-46.688068007270104
SP,1446,-23.575583788550986,-46.675498893884544
SP,1447,-23.57278680948971,-46.67888556258397
SP,1448,-23.578237896388117,-46.6798226933562
SP,1449,-23.576116917727894,-46.67995669824682
SP,1450,-23.576453178872967,-46.68518508958671
SP,1451,-23.577435950107756,-46.686989849503625
SP,1452,-23.57499644597807,-46.68887938403563
SP,1453,-23.58405900397474,-46.686376108944685
SP,1454,-23.5823769762781,-46.68670275509793
SP,1455,-23.580554136002814,-46.69112136854049
SP,1456,-23.576839765441044,-46.69098724900726
SP,1457,-23.575237809829588,-46.69270350960496
SP,1472,-23.57054369248079,-46.69129667943905
SP,1489,-23.57664998889148,-46.68740004775216
SP,1501,-23.552469356196877,-46.63548543836742
SP,1502,-23.55460594212853,-46.63549256113905
SP,1503,-23.557709002952702,-46.636769371015525
SP,1504,-23.566860580458098,-46.639505296222325
SP,1505,-23.555267611186444,-46.63182476204628
SP,1506,-23.559558667862476,-46.635032185031825
SP,1507,-23.558146418434664,-46.63176589052543
SP,1508,-23.561423631210438,-46.635830059412875
SP,1509,-23.567010080253134,-46.6357981412501
SP,1510,-23.557602164986584,-46.63361528281082
SP,1511,-23.561456812728604,-46.63294793571506
SP,1512,-23.553717206079803,-46.62949909730413
SP,1513,-23.548914356972634,-46.60384461609751
SP,1514,-23.554377818784552,-46.62833776862852
SP,1516,-23.559073244239713,-46.615479964241814
SP,1517,-23.559613278440462,-46.62400348069892
SP,1518,-23.559209262391256,-46.62318692012761
SP,1519,-23.56092636240119,-46.62475706787168
SP,1520,-23.5593782690559,-46.62016401941447
SP,1521,-23.561174444941702,-46.621509031668836
SP,1522,-23.559920265800763,-46.61598186753571
SP,1523,-23.564203478452267,-46.61689706470856
SP,1524,-23.56778327483324,-46.61340053805787
SP,1525,-23.564028977467746,-46.634953911249525
SP,1526,-23.565952267759908,-46.63094391856622
SP,1527,-23.562439173525966,-46.62919220917373
SP,1528,-23.56477004530615,-46.627165924834166
SP,1529,-23.568439156874526,-46.63455549164137
SP,1530,-23.568944498063477,-46.6300891882054
SP,1531,-23.57076062771336,-46.63242524738392
SP,1532,-23.57053421761298,-46.636111876960506
SP,1533,-23.571168123099824,-46.63836454335033
SP,1534,-23.567543590159627,-46.626085143450254
SP,1535,-23.572433214905786,-46.625241361882196
SP,1536,-23.569032131454914,-46.6234362735564
SP,1537,-23.57442284838845,-46.62313726443156
SP,1538,-23.57631282327834,-46.62362934794424
SP,1539,-23.5711528559151,-46.62043601303771
SP,1540,-23.565851346289612,-46.62258150860084
SP,1541,-23.56925274057871,-46.6186169730581
SP,1542,-23.571065827080144,-46.62406014113324
SP,1543,-23.573720975073698,-46.62387176826929
SP,1544,-23.57725543271809,-46.621631742215655
SP,1545,-23.580974143098487,-46.61831033162643
SP,1546,-23.579039318151192,-46.62195565179699
SP,1547,-23.582993961723396,-46.62112676164033
SP,1548,-23.576927145286824,-46.613420785199985
SP,1549,-23.576317533999347,-46.61558665669375
SP,1550,-23.573056606592885,-46.61615054561147
SP,1551,-23.57273791226793,-46.612680073611074
SP,1552,-23.569490695195096,-46.611321773237286
SP,1553,-23.574487923181074,-46.60919807994077
SP,2009,-23.515799103830265,-46.64113909097136
SP,2010,-23.51056158921295,-46.626354973313795
SP,2011,-23.504385034128497,-46.62662104590108
SP,2012,-23.513066026188493,-46.63196817761764
SP,2013,-23.5022061742251,-46.63311453979945
SP,2016,-23.503984838767177,-46.6256721599388
SP,2017,-23.500742944360795,-46.63469457728484
